# Andor ikon-XL e2v 231-84 - Standard silicon - mid band AR coating
# QE at -100C 
# http://www.andor.com/scientific-cameras/ikon-xl-and-ikon-large-ccd-series/ikon-xl-231
# Angstrom QE
2200.0 0.0
3000.0 0.26
3600.0 0.34
4000.0 0.6
5000.0 0.89
5500.0 0.92
6000.0 0.92
7000.0 0.83
8000.0 0.6
9650.0 0.10
10500.0 0.0
