# Quantum efficiency of HgCdTe at 145K
# Angstrom QE
7000.0 0.0
8000.0 0.8
8200.0 0.82
9000.0 0.85
9600.0 0.88
10000.0 0.88
11000.0 0.88
12000.0 0.89
13000.0 0.88
14000.0 0.90
15000.0 0.89
16000.0 0.89
16400.0 0.88
16600.0 0.88
17000.0 0.79
17200.0 0.63
17500.0 0.08
18000.0 0.0
