"Y(X), créé par Plot Digitizer, 2.6.8"
"Date: 13/09/17, 09:05:38"


25
X,Y
1989.85,0.0639810,
2162.44,0.0947867,
2314.72,0.200237,
2395.94,0.219194,
2720.81,0.0805687,
2893.40,0.0900474,
3025.38,0.100711,
3482.23,0.202607,
3725.89,0.303318,
3898.48,0.504739,
4081.22,0.635071,
4832.49,0.904028,
4994.92,0.949052,
5512.69,0.973934,
6040.61,0.968009,
6538.07,0.946682,
7076.14,0.907583,
7553.30,0.850711,
8020.30,0.761848,
8497.46,0.633886,
8923.86,0.494076,
9472.08,0.299763,
9908.63,0.163507,
10517.8,0.0390995,
10487.3,0.0402844,
