# DES Document 5847-v1
# Asahi measured area-weighted response [u filter], for the other filters, area-weighted response [in pass band], witness sample measurements [out of pass band]
# wavelength(nm), DECam-u, DES-g, DES-r, DES-i, DES-z, DES-Y
381,96.67121034,0.00108380,0.00062952,0.00202451,0.00245955,0.00029668
382,96.27355172,0.00112166,0.00039949,0.00205772,0.00224621,0.00047765
383,95.58789310,0.00097768,0.00055288,0.00176744,0.00227470,0.00044366
384,95.06426897,0.00145383,0.00058724,0.00204952,0.00195541,0.00037632
385,94.88612414,0.00243302,0.00077358,0.00186589,0.00268963,0.00040862
386,95.13297931,0.00367021,0.00065185,0.00180389,0.00291577,0.00028033
387,95.71766207,0.00458996,0.00069610,0.00196843,0.00332017,0.00074050
388,96.31732759,0.00646509,0.00042098,0.00200847,0.00294942,0.00048201
389,96.84911724,0.01149685,0.00070514,0.00186142,0.00284304,0.00039322
390,96.99111034,0.02877554,0.00112627,0.00209705,0.00249474,0.00051526
391,97.06504828,0.10569174,0.00151931,0.00200258,0.00225800,0.00032357
392,96.81185172,0.35516900,0.00161703,0.00205071,0.00229387,0.00047796
393,96.63681724,1.00564969,0.00143131,0.00210428,0.00217382,0.00034492
394,96.51987241,2.92234802,0.00133480,0.00185974,0.00223610,0.00040928
395,96.11457241,10.02316241,0.00093091,0.00192902,0.00226172,0.00024532
396,95.97025517,19.55565517,0.00147937,0.00208291,0.00211182,0.00045141
397,94.71630345,32.97045517,0.00275489,0.00215342,0.00216781,0.00026783
398,85.95750000,47.30148276,0.00440033,0.00191119,0.00257407,0.00036737
399,63.97785172,60.94654483,0.00636034,0.00238228,0.00251710,0.00048240
400,35.92626552,73.08908276,0.00583158,0.00336677,0.00225137,0.00015441
401,15.10747172,81.20770000,0.00319936,0.00418204,0.00211172,0.00032273
402,5.33974448,84.91604483,0.00112830,0.00480203,0.00188400,0.00033833
403,2.04279034,86.03278276,0.00101440,0.00495972,0.00166194,0.00028062
404,0.89868959,86.88612759,0.00077651,0.00609052,0.00205098,0.00022092
405,0.41458900,87.26447586,0.00073378,0.00775889,0.00199955,0.00021132
406,0.20807424,87.49566207,0.00081795,0.00815577,0.00179522,0.00040328
407,0.11010031,87.70112759,0.00121963,0.00674113,0.00213135,0.00036000
408,0.05771183,87.86204483,0.00141666,0.00589929,0.00209546,0.00045216
409,0.03360641,87.93568621,0.00123111,0.00592998,0.00205534,0.00012589
410,0.02115652,87.96699310,0.00074529,0.00772778,0.00200610,0.00029640
411,0.01387476,87.99443793,0.00046847,0.01021578,0.00197619,0.00043219
412,0.00813465,87.92328621,0.00047498,0.01063406,0.00198076,0.00029206
413,0.00610193,87.76637931,0.00049269,0.00812732,0.00191826,0.00025060
414,0.00383445,87.68468966,0.00072451,0.00621707,0.00188403,0.00035341
415,0.00260776,87.86452414,0.00122836,0.00645057,0.00193726,0.00027943
416,0.00182824,88.14412759,0.00233487,0.00603450,0.00179322,0.00021146
417,0.00181734,88.41967241,0.00224386,0.00470619,0.00161007,0.00055145
418,0.00138410,88.72662414,0.00157207,0.00414181,0.00199771,0.00054734
419,0.00137934,88.98606897,0.00112348,0.00427978,0.00201551,0.00029255
420,0.00087362,89.02400690,0.00116139,0.00475494,0.00149316,0.00056706
421,0.00112765,88.84661034,0.00130961,0.00622417,0.00186440,0.00051162
422,0.00099293,88.70791724,0.00238702,0.00767551,0.00194369,0.00040275
423,0.00115555,88.63393103,0.00385404,0.00900615,0.00183506,0.00055118
424,0.00094645,88.63782414,0.00404442,0.01159688,0.00179152,0.00056739
425,0.00112172,88.75926207,0.00233449,0.01435162,0.00175587,0.00054762
426,0.00110034,89.01743448,0.00098521,0.01390854,0.00201885,0.00198476
427,0.00108617,89.23626552,0.00018908,0.00893706,0.00202702,0.00399321
428,0.00116066,89.37482069,0.00031752,0.00417602,0.00172733,0.00524905
429,0.00092562,89.52267931,0.00048498,0.00276748,0.00185917,0.00451631
430,0.00130559,89.69563793,0.00144665,0.00226357,0.00174164,0.00252284
431,0.00119897,89.78473103,0.00209200,0.00217063,0.00183306,0.00143733
432,0.00092824,89.71944483,0.00133381,0.00233654,0.00215025,0.00061673
433,0.00096093,89.66303103,0.00062420,0.00237619,0.00183899,0.00061344
434,0.00077490,89.64353448,0.00052033,0.00272671,0.00205208,0.00041282
435,0.00105700,89.62855172,0.00013840,0.00351678,0.00194975,0.00024677
436,0.00078800,89.62520345,0.00051307,0.00389738,0.00204999,0.00048494
437,0.00081879,89.74268966,0.00115804,0.00295083,0.00189774,0.00037863
438,0.00076810,89.99773103,0.00181881,0.00200903,0.00182137,0.00001350
439,0.00073403,90.25821379,0.00125636,0.00226437,0.00205632,0.00030917
440,0.00086614,90.48555862,0.00038430,0.00217085,0.00196010,0.00013065
441,0.00076835,90.70656207,0.00111447,0.00224892,0.00179661,0.00054898
442,0.00073059,90.93452759,0.00211430,0.00379447,0.00182875,0.00042377
443,0.00090990,91.08799655,0.00238790,0.00715143,0.00198547,0.00036188
444,0.00057672,91.12642069,0.00137969,0.01140102,0.00176831,0.00011050
445,0.00069662,91.11236207,0.00044421,0.01337397,0.00207003,0.00007950
446,0.00086655,91.09028621,0.00016107,0.01233090,0.00194999,0.00018386
447,0.00067145,91.05067931,0.00025318,0.01137034,0.00205511,-0.00002470
448,0.00066769,90.97112414,0.00020616,0.01099975,0.00230932,0.00038018
449,0.00075262,90.89564138,0.00020500,0.00899242,0.00226571,0.00041920
450,0.00055007,90.86694138,0.00018388,0.00528644,0.00213767,0.00004160
451,0.00066441,90.89437931,0.00052550,0.00299414,0.00205888,0.00032956
